book,chapter,token_count
2 Chronicles,35,2129
2 Chronicles,36,1704
Obadiah,1,1598
Jude,1,1723
Isaiah,1,2014
Isaiah,2,1189
Isaiah,3,1349
Isaiah,4,419
Isaiah,5,2119
Isaiah,6,921
Isaiah,7,1496
Isaiah,8,1429
Isaiah,9,1491
Isaiah,10,2078
Isaiah,11,1074
Isaiah,12,350
Isaiah,13,1300
Isaiah,14,2047
Isaiah,15,593
Isaiah,16,1017
Isaiah,17,968
Isaiah,18,522
Isaiah,19,1641
Isaiah,20,450
Isaiah,21,998
Isaiah,22,1567
Isaiah,23,1217
Isaiah,24,1360
Isaiah,25,876
Isaiah,26,1291
Isaiah,27,876
Isaiah,28,2138
Isaiah,29,1760
Isaiah,30,2511
Isaiah,31,818
Isaiah,32,1035
Isaiah,33,1602
Isaiah,34,1120
Isaiah,35,692
Isaiah,36,1741
Isaiah,37,2651
Isaiah,38,1390
Isaiah,39,615
Isaiah,40,2047
Isaiah,41,1984
Isaiah,42,1621
Isaiah,43,1800
Isaiah,44,2142
Isaiah,45,1926
Isaiah,46,863
Isaiah,47,1094
Isaiah,48,1542
Isaiah,49,2090
Isaiah,50,970
Isaiah,51,1732
Isaiah,52,1103
Isaiah,53,1044
Isaiah,54,1262
Isaiah,55,958
Isaiah,56,816
Isaiah,57,1462
Isaiah,58,1272
Isaiah,59,1530
Isaiah,60,1584
Isaiah,61,917
Isaiah,62,876
Isaiah,63,1306
Isaiah,64,831
Isaiah,65,1860
Isaiah,66,2070
Ecclesiastes,1,843
Ecclesiastes,2,1711
Ecclesiastes,3,1151
Ecclesiastes,4,879
Ecclesiastes,5,1218
Ecclesiastes,6,745
Ecclesiastes,7,1546
Ecclesiastes,8,1079
Ecclesiastes,9,1321
Ecclesiastes,10,936
Ecclesiastes,11,604
Ecclesiastes,12,844
Genesis,1,1606
Genesis,2,1222
Genesis,3,1526
Genesis,4,1434
Genesis,5,1033
Genesis,6,1128
Genesis,7,1052
Genesis,8,1092
Genesis,9,1387
Genesis,10,1248
Genesis,11,1296
Genesis,12,1155
Genesis,13,945
Genesis,14,1460
Genesis,15,1130
Genesis,16,1031
Genesis,17,1449
Genesis,18,1964
Genesis,19,2275
Genesis,20,1154
Genesis,21,1771
Genesis,22,1391
Genesis,23,1199
Genesis,24,3911
Genesis,25,1692
Genesis,26,2045
Genesis,27,2774
Genesis,28,1371
Genesis,29,1966
Genesis,30,2551
Genesis,31,3626
Genesis,32,1896
Genesis,33,1119
Genesis,34,1809
Genesis,35,1629
Genesis,36,2057
Genesis,37,2107
Genesis,38,1782
Genesis,39,1363
Genesis,40,1170
Genesis,41,2857
Genesis,42,2488
Genesis,43,2285
Genesis,44,2066
Genesis,45,1698
Genesis,46,1765
Genesis,47,2085
Genesis,48,1523
Genesis,49,1799
Genesis,50,1588
Habakkuk,1,1121
Habakkuk,2,1390
Habakkuk,3,1210
Hosea,1,781
Hosea,2,1495
Hosea,3,332
Hosea,4,1161
Hosea,5,948
Hosea,6,610
Hosea,7,1000
Hosea,8,833
Hosea,9,1199
Hosea,10,1081
Hosea,11,819
Hosea,12,795
Hosea,13,984
Hosea,14,650
Colossians,1,1674
Colossians,2,1263
Colossians,3,1230
Colossians,4,968
Luke,1,3250
Luke,2,2232
Luke,3,1951
Luke,4,2220
Luke,5,2128
Luke,6,2685
Luke,7,2848
Luke,8,3094
Luke,9,3307
Luke,10,2288
Luke,11,2979
Luke,12,3213
Luke,13,1981
Luke,14,1826
Luke,15,1618
Luke,16,1792
Luke,17,1714
Luke,18,2185
Luke,19,2278
Luke,20,2186
Luke,21,1747
Luke,22,3154
Luke,23,2496
Luke,24,2319
Nehemiah,1,842
Nehemiah,2,1582
Nehemiah,3,2097
Nehemiah,4,1550
Nehemiah,5,1483
